Consulta,Objetivo,Ejemplo_Entrada
"Consulta_00_Listado_Estudiantes","Listado general de estudiantes registrados, ordenado por nombre.","Consultar"
"Consulta_01_Buscar_Por_Nombre","Busca cualquier parte del nombre. Usa Like ""*"" & parametro & ""*"".","ana"
"Consulta_02_Buscar_Por_Codigo","Busca una parte del codigo estudiantil usando * y &.","COD-*"
"Consulta_03_Buscar_Por_Correo","Busca texto en cualquier parte del correo electronico.","universidad.edu.co"
"Consulta_04_Buscar_Por_Dominio_Correo","Busca estudiantes por el dominio ubicado despues de @.","universidad.edu.co"
"Consulta_05_Buscar_Por_Cedula_Exacta","Busca por documento de identidad exacto usando =.","123456789"
"Consulta_06_Buscar_Por_Patron_Codigo","Permite escribir un patron completo con *, ? y #, por ejemplo COD-####*.","COD-*"
"Consulta_07_Busqueda_Combinada","Combina nombre, correo, codigo, cedula y universidad. Los parametros vacios se ignoran.","Consultar"
"Consulta_08_Turnos_Por_Estudiante","Une estudiantes y turnos, filtrando por nombre, codigo o correo.","Consultar"
"Consulta_09_Turnos_Por_Rango_Fechas","Busca turnos entre dos fechas. En Colombia puede ingresarse dd/mm/aaaa.","15/07/2026"
"Consulta_10_Turnos_Activos","Ejemplo de textos entre comillas e IN: estados ""activo"" o ""en_fila"".","Consultar"
"Consulta_11_Turnos_Codigo_Estado","Filtra turnos por fragmento de codigo y estado; cualquiera puede dejarse vacio.","COD-*"
"Consulta_12_Estudiantes_Sin_Codigo","Usa Is Null y = """" para detectar datos faltantes.","COD-*"
"Consulta_13_Registrados_Hoy","Compara la fecha ISO de registro con la fecha actual usando Left() y Format().","Consultar"
"Consulta_14_Resumen_Turnos_Estudiante","Cuenta turnos y calcula porcentaje atendido usando / para division.","Consultar"
"Consulta_15_Turnos_Ultimos_N_Dias","Usa DateAdd(""d"",-N,Date()) para buscar los ultimos N dias.","30"
"Consulta_16_Estudiantes_Correo_Edu","Usa una regla fija Like ""*@*.edu*"" para correos educativos.","universidad.edu.co"
"Consulta_17_Estudiantes_Con_Billetera","Selecciona registros donde la billetera no sea nula ni vacia.","Consultar"
"Consulta_18_Por_Universidad_O_Tipo","Demuestra OR y parentesis para buscar por universidad o tipo estudiantil.","Consultar"
